serial,fsr,emg
1610,2834,2271
1611,2829,2291
1612,2845,2193
1613,2845,2239
1614,2850,2263
1615,2860,2304
1616,2878,2247
1617,2861,2327
1618,2866,2311
1619,2866,2361
1620,2884,2326
1621,2898,2359
1622,2894,2306
1623,2898,2307
1624,2896,2262
1625,2894,2243
1626,2901,2302
1627,2861,2282
1628,2905,2345
1629,2894,2347
1630,2894,2339
1631,2897,2367
1632,2895,2374
1633,2895,2279
1634,2909,2282
1635,2890,2252
1636,2893,2288
1637,2887,2227
1638,2878,2291
1639,2867,2271
1640,2858,2288
1641,2823,2241
1642,2774,2288
1643,2693,2245
1644,2541,2311
1645,2275,2266
1646,2066,2303
1647,1808,2273
1648,1446,2310
1649,1210,2312
1650,934,2374
1651,559,2338
1652,345,2318
1653,273,2196
1654,222,2159
1655,112,2064
1656,0,2029
1657,9,1922
1658,0,1915
1659,0,1841
1660,0,1827
1661,0,1721
1662,0,1629
1663,0,1533
1664,0,1461
1665,0,1409
1666,0,1366
1667,0,1341
1668,0,1328
1669,0,1301
1670,0,1301
1671,0,1285
1672,0,1285
1673,0,1281
1674,0,1286
1675,0,1253
1676,0,1260
1677,0,1261
1678,0,1269
1679,0,1241
1680,0,1242
1681,0,1275
1682,0,1248
1683,0,1232
1684,0,1241
1685,0,1262
1686,0,1223
1687,0,1233
1688,0,1233
1689,0,1278
1690,0,1296
1691,0,1269
1692,0,1251
1693,0,1281
1694,0,1291
1695,0,1264
1696,0,1247
1697,0,1232
1698,0,1215
1699,0,1218
1700,0,1232
1701,0,1231
1702,0,1205
1703,0,1200
1704,0,1197
1705,0,1201
1706,0,1232
1707,0,1211
1708,0,1229
1709,0,1209
1710,0,1198
1711,0,1236
1712,0,1213
1713,0,1215
1714,0,1200
1715,0,1253
1716,0,1251
1717,0,1271
1718,0,1295
1719,0,1378
1720,0,1426
1721,22,1472
1722,53,1520
1723,31,1649
1724,0,1689
1725,295,1743
1726,592,1822
1727,939,1872
1728,1168,1941
1729,1378,2064
1730,1599,2083
1731,1512,2091
1732,1614,2096
1733,1756,2044
1734,1791,2143
1735,1808,2102
1736,1878,2139
1737,1987,2070
1738,2029,2064
1739,2047,2058
1740,2032,2080
1741,2000,2018
1742,2032,2062
1743,1974,2006
1744,1999,2009
1745,2011,2001
1746,2011,2097
1747,2015,2134
1748,2057,2203
1749,2066,2182
1750,2060,2305
1751,2058,2215
1752,2067,2186
1753,2070,2133
1754,2096,2098
1755,2094,2045
1756,2092,2028
1757,2071,2085
1758,2077,2098
1759,2076,2096
1760,2074,2115
1761,2082,2068
1762,2097,2046
1763,2099,2039
1764,2096,2065
1765,2112,2125
1766,2103,2128
1767,2116,2101
